Date,Temperature,Humidity,WindSpeed,Rainfall,Month,Year,Season,Month_Year,Rolling_Avg
2022-02-07,18.7,82.2,8.7,3.3,February,2022,Summer,2022-02,80.54285714285716
2022-02-08,20.9,79.8,10.7,2.8,February,2022,Summer,2022-02,81.3
2022-02-09,24.5,77.9,11.3,3.9,February,2022,Summer,2022-02,79.81428571428572
2022-02-10,21.9,83.3,8.0,3.6,February,2022,Summer,2022-02,82.8
2022-02-11,23.8,73.4,4.9,3.1,February,2022,Summer,2022-02,81.85714285714286
2022-02-12,17.4,84.4,10.4,0.0,February,2022,Summer,2022-02,82.20000000000002
2022-02-13,22.1,72.1,7.0,1.7,February,2022,Summer,2022-02,79.01428571428572
2022-02-14,21.3,88.8,13.0,3.5,February,2022,Summer,2022-02,79.95714285714287
2022-02-15,23.9,71.4,10.2,0.0,February,2022,Summer,2022-02,78.75714285714285
2022-02-16,20.8,77.6,15.6,2.8,February,2022,Summer,2022-02,78.71428571428571
2022-02-17,19.4,89.9,7.5,2.4,February,2022,Summer,2022-02,79.65714285714286
2022-02-18,21.7,74.0,10.1,0.0,February,2022,Summer,2022-02,79.74285714285715
2022-02-19,23.9,96.2,12.9,2.3,February,2022,Summer,2022-02,81.42857142857143
2022-02-20,17.9,82.9,11.7,3.8,February,2022,Summer,2022-02,82.97142857142856
2022-02-21,18.8,94.0,11.7,2.6,February,2022,Summer,2022-02,83.71428571428571
2022-02-22,22.7,74.0,10.9,1.3,February,2022,Summer,2022-02,84.08571428571427
2022-02-23,21.4,82.7,3.1,0.0,February,2022,Summer,2022-02,84.81428571428572
2022-02-24,20.9,89.8,9.7,3.6,February,2022,Summer,2022-02,84.8
2022-02-25,21.0,78.5,8.7,0.0,February,2022,Summer,2022-02,85.44285714285715
2022-02-26,23.9,75.7,11.8,1.1,February,2022,Summer,2022-02,82.51428571428572
2022-02-27,25.6,78.9,9.7,0.0,February,2022,Summer,2022-02,81.94285714285715
2022-02-28,29.7,81.3,13.8,4.6,February,2022,Summer,2022-02,80.12857142857142
2022-03-01,24.1,75.5,12.2,0.0,March,2022,Summer,2022-03,80.34285714285714
2022-03-02,26.5,68.3,10.4,0.0,March,2022,Summer,2022-03,78.28571428571429
2022-03-03,18.3,73.2,8.7,3.3,March,2022,Summer,2022-03,75.91428571428571
2022-03-04,23.1,77.0,10.0,2.7,March,2022,Summer,2022-03,75.7
2022-03-05,21.7,84.0,7.2,0.0,March,2022,Summer,2022-03,76.88571428571429
2022-03-06,24.0,80.5,5.0,1.0,March,2022,Summer,2022-03,77.11428571428573
2022-03-07,27.3,70.5,8.0,5.3,March,2022,Summer,2022-03,75.57142857142857
2022-03-08,22.4,81.0,12.7,2.7,March,2022,Summer,2022-03,76.35714285714286
2022-03-09,22.6,78.1,12.4,6.0,March,2022,Summer,2022-03,77.75714285714285
2022-03-10,28.6,82.3,5.6,3.5,March,2022,Summer,2022-03,79.05714285714285
2022-03-11,26.5,82.8,10.2,0.0,March,2022,Summer,2022-03,79.88571428571429
2022-03-12,23.2,85.7,10.7,2.8,March,2022,Summer,2022-03,80.12857142857142
2022-03-13,24.8,80.1,11.0,1.1,March,2022,Summer,2022-03,80.07142857142857
2022-03-14,25.2,77.4,7.9,0.0,March,2022,Summer,2022-03,81.05714285714285
2022-03-15,29.7,79.1,9.3,0.0,March,2022,Summer,2022-03,80.78571428571429
2022-03-16,23.7,81.2,10.6,2.4,March,2022,Summer,2022-03,81.22857142857143
2022-03-17,23.6,67.5,10.2,1.9,March,2022,Summer,2022-03,79.11428571428573
2022-03-18,24.8,81.2,10.3,2.9,March,2022,Summer,2022-03,78.88571428571429
2022-03-19,24.6,71.9,7.2,0.8,March,2022,Summer,2022-03,76.91428571428571
2022-03-20,28.2,74.9,11.6,1.8,March,2022,Summer,2022-03,76.17142857142858
2022-03-21,25.5,62.3,12.3,3.1,March,2022,Summer,2022-03,74.01428571428572
2022-03-22,27.8,69.3,13.6,1.8,March,2022,Summer,2022-03,72.61428571428571
2022-03-23,26.0,82.0,11.3,1.1,March,2022,Summer,2022-03,72.72857142857143
2022-03-24,28.1,65.6,7.8,0.5,March,2022,Summer,2022-03,72.45714285714287
2022-03-25,29.2,80.2,11.8,1.2,March,2022,Summer,2022-03,72.31428571428572
2022-03-26,28.4,81.3,10.2,1.3,March,2022,Summer,2022-03,73.65714285714286
2022-03-27,27.1,73.6,11.7,1.7,March,2022,Summer,2022-03,73.47142857142856
2022-03-28,22.5,84.1,9.4,0.9,March,2022,Summer,2022-03,76.58571428571429
2022-03-29,28.5,81.9,13.8,3.1,March,2022,Summer,2022-03,78.38571428571429
2022-03-30,24.2,92.1,12.3,0.0,March,2022,Summer,2022-03,79.82857142857142
2022-03-31,27.7,83.5,9.4,0.7,March,2022,Summer,2022-03,82.38571428571427
2022-04-01,29.5,75.2,5.7,3.6,April,2022,Summer,2022-04,81.67142857142856
2022-04-02,28.1,73.6,16.3,3.3,April,2022,Summer,2022-04,80.57142857142857
2022-04-03,27.8,79.6,11.4,0.0,April,2022,Summer,2022-04,81.42857142857143
2022-04-04,25.4,70.4,13.7,0.0,April,2022,Summer,2022-04,79.47142857142856
2022-04-05,28.1,83.1,12.9,1.3,April,2022,Summer,2022-04,79.64285714285714
2022-04-06,25.7,67.8,12.9,0.0,April,2022,Summer,2022-04,76.17142857142856
2022-04-07,26.8,85.4,12.8,1.5,April,2022,Summer,2022-04,76.44285714285714
2022-04-08,28.9,65.2,14.2,3.0,April,2022,Summer,2022-04,75.01428571428572
2022-04-09,27.2,71.6,13.2,3.1,April,2022,Summer,2022-04,74.72857142857143
2022-04-10,29.0,70.5,9.2,0.9,April,2022,Summer,2022-04,73.42857142857143
2022-04-11,29.7,81.0,10.4,0.0,April,2022,Summer,2022-04,74.94285714285715
2022-04-12,33.7,59.2,10.4,1.9,April,2022,Summer,2022-04,71.52857142857142
2022-04-13,29.0,63.4,13.6,0.0,April,2022,Summer,2022-04,70.89999999999999
2022-04-14,30.0,68.0,20.5,6.6,April,2022,Summer,2022-04,68.41428571428571
2022-04-15,28.5,72.2,10.9,1.0,April,2022,Summer,2022-04,69.41428571428573
2022-04-16,31.3,75.4,12.1,3.0,April,2022,Summer,2022-04,69.95714285714286
2022-04-17,28.3,69.9,8.6,1.2,April,2022,Summer,2022-04,69.87142857142858
2022-04-18,24.9,74.0,7.4,4.6,April,2022,Summer,2022-04,68.87142857142858
2022-04-19,28.1,66.8,8.2,0.0,April,2022,Summer,2022-04,69.95714285714287
2022-04-20,30.5,77.2,11.0,2.1,April,2022,Summer,2022-04,71.92857142857143
2022-04-21,31.0,60.5,12.6,0.0,April,2022,Summer,2022-04,70.85714285714286
2022-04-22,28.8,83.5,10.7,0.5,April,2022,Summer,2022-04,72.47142857142858
2022-04-23,32.2,73.0,14.7,3.1,April,2022,Summer,2022-04,72.12857142857143
2022-04-24,33.6,81.8,11.1,2.9,April,2022,Summer,2022-04,73.82857142857142
2022-04-25,33.1,84.9,10.5,0.9,April,2022,Summer,2022-04,75.38571428571429
2022-04-26,34.7,73.0,6.9,3.1,April,2022,Summer,2022-04,76.27142857142859
2022-04-27,29.7,68.0,11.0,3.1,April,2022,Summer,2022-04,74.95714285714287
2022-04-28,28.6,68.4,9.7,1.9,April,2022,Summer,2022-04,76.08571428571429
2022-04-29,32.6,77.2,13.1,1.0,April,2022,Summer,2022-04,75.18571428571428
2022-04-30,29.6,74.9,13.6,0.0,April,2022,Summer,2022-04,75.45714285714287
2022-05-01,33.5,80.6,3.9,0.2,May,2022,Summer,2022-05,75.28571428571429
2022-05-02,34.4,75.0,11.4,3.9,May,2022,Summer,2022-05,73.87142857142858
2022-05-03,32.9,65.6,7.2,1.1,May,2022,Summer,2022-05,72.81428571428572
2022-05-04,35.9,65.6,10.7,1.8,May,2022,Summer,2022-05,72.47142857142858
2022-05-05,30.6,72.8,14.4,2.1,May,2022,Summer,2022-05,73.1
2022-05-06,34.0,80.1,13.9,3.3,May,2022,Summer,2022-05,73.5142857142857
2022-05-07,34.4,60.8,13.1,0.0,May,2022,Summer,2022-05,71.5
2022-05-08,32.0,77.0,5.6,0.0,May,2022,Summer,2022-05,70.98571428571428
2022-05-09,32.2,70.2,11.7,1.8,May,2022,Summer,2022-05,70.3
2022-05-10,33.2,68.7,8.9,0.0,May,2022,Summer,2022-05,70.74285714285715
2022-05-11,31.5,78.9,9.7,3.6,May,2022,Summer,2022-05,72.64285714285714
2022-05-12,34.0,79.6,8.0,0.0,May,2022,Summer,2022-05,73.61428571428573
2022-05-13,37.7,68.3,13.2,0.0,May,2022,Summer,2022-05,71.92857142857143
2022-05-14,35.3,80.1,13.8,0.6,May,2022,Summer,2022-05,74.68571428571428
2022-05-15,30.5,77.1,6.1,0.0,May,2022,Summer,2022-05,74.7
2022-05-16,31.5,74.3,11.2,0.0,May,2022,Summer,2022-05,75.28571428571429
2022-05-17,32.5,68.2,6.3,0.9,May,2022,Summer,2022-05,75.21428571428571
2022-05-18,30.6,67.8,9.0,2.5,May,2022,Summer,2022-05,73.62857142857142
2022-05-19,31.8,79.8,7.1,1.6,May,2022,Summer,2022-05,73.65714285714286
2022-05-20,32.6,74.7,13.5,3.3,May,2022,Summer,2022-05,74.57142857142857
2022-05-21,36.2,74.2,13.5,1.1,May,2022,Summer,2022-05,73.72857142857141
2022-05-22,33.1,60.8,6.3,1.7,May,2022,Summer,2022-05,71.4
2022-05-23,34.3,81.3,7.3,1.2,May,2022,Summer,2022-05,72.39999999999999
2022-05-24,36.6,66.1,4.4,3.7,May,2022,Summer,2022-05,72.1
2022-05-25,34.5,52.8,8.2,3.5,May,2022,Summer,2022-05,69.95714285714286
2022-05-26,34.5,82.6,12.5,0.0,May,2022,Summer,2022-05,70.35714285714285
2022-05-27,34.0,67.9,11.5,1.1,May,2022,Summer,2022-05,69.38571428571429
2022-05-28,34.7,67.2,8.1,0.0,May,2022,Summer,2022-05,68.38571428571429
2022-05-29,35.5,78.7,10.0,6.4,May,2022,Summer,2022-05,70.94285714285714
2022-05-30,36.7,88.0,9.7,1.5,May,2022,Summer,2022-05,71.89999999999999
2022-05-31,35.5,76.0,8.1,0.0,May,2022,Summer,2022-05,73.31428571428572
2022-06-01,34.8,78.4,12.0,8.8,June,2022,Monsoon,2022-06,76.97142857142856
2022-06-02,33.4,81.2,13.1,6.4,June,2022,Monsoon,2022-06,76.77142857142859
2022-06-03,36.8,68.8,10.8,18.3,June,2022,Monsoon,2022-06,76.89999999999999
2022-06-04,36.5,68.8,11.4,0.0,June,2022,Monsoon,2022-06,77.12857142857142
2022-06-05,31.8,70.1,5.5,11.9,June,2022,Monsoon,2022-06,75.89999999999999
2022-06-06,36.1,60.5,9.6,15.8,June,2022,Monsoon,2022-06,71.97142857142858
2022-06-07,36.3,75.6,12.3,0.6,June,2022,Monsoon,2022-06,71.91428571428571
2022-06-08,31.4,79.3,7.5,29.8,June,2022,Monsoon,2022-06,72.04285714285713
2022-06-09,38.3,81.0,8.4,24.8,June,2022,Monsoon,2022-06,72.0142857142857
2022-06-10,36.1,72.3,13.7,21.7,June,2022,Monsoon,2022-06,72.5142857142857
2022-06-11,35.2,70.7,6.9,18.9,June,2022,Monsoon,2022-06,72.78571428571428
2022-06-12,34.7,68.8,11.0,26.6,June,2022,Monsoon,2022-06,72.6
2022-06-13,33.9,78.1,7.0,18.7,June,2022,Monsoon,2022-06,75.11428571428571
2022-06-14,32.0,85.9,11.8,22.6,June,2022,Monsoon,2022-06,76.58571428571427
2022-06-15,34.3,65.2,12.2,36.6,June,2022,Monsoon,2022-06,74.57142857142857
2022-06-16,32.4,77.5,16.1,7.1,June,2022,Monsoon,2022-06,74.07142857142857
2022-06-17,33.0,75.4,10.9,18.8,June,2022,Monsoon,2022-06,74.51428571428572
2022-06-18,39.5,61.3,5.6,29.8,June,2022,Monsoon,2022-06,73.17142857142858
2022-06-19,34.8,64.5,13.8,23.3,June,2022,Monsoon,2022-06,72.55714285714285
2022-06-20,36.6,75.1,9.2,18.0,June,2022,Monsoon,2022-06,72.12857142857142
2022-06-21,35.5,76.2,9.5,12.5,June,2022,Monsoon,2022-06,70.74285714285715
2022-06-22,33.5,68.0,4.1,13.7,June,2022,Monsoon,2022-06,71.14285714285714
2022-06-23,32.1,64.1,10.6,25.2,June,2022,Monsoon,2022-06,69.22857142857143
2022-06-24,33.6,72.7,8.0,34.0,June,2022,Monsoon,2022-06,68.84285714285714
2022-06-25,35.7,78.1,8.0,30.3,June,2022,Monsoon,2022-06,71.24285714285715
2022-06-26,30.7,77.5,3.9,26.6,June,2022,Monsoon,2022-06,73.10000000000001
2022-06-27,36.7,73.2,8.7,19.0,June,2022,Monsoon,2022-06,72.82857142857144
2022-06-28,37.6,59.4,7.1,26.7,June,2022,Monsoon,2022-06,70.42857142857143
2022-06-29,33.5,71.1,14.3,23.4,June,2022,Monsoon,2022-06,70.87142857142858
2022-06-30,35.4,63.4,6.8,9.3,June,2022,Monsoon,2022-06,70.77142857142857
2022-07-01,35.1,66.7,3.5,15.2,July,2022,Monsoon,2022-07,69.91428571428571
2022-07-02,32.0,78.8,12.6,22.9,July,2022,Monsoon,2022-07,70.0142857142857
2022-07-03,36.8,72.7,8.9,14.0,July,2022,Monsoon,2022-07,69.32857142857144
2022-07-04,36.3,79.6,15.4,36.7,July,2022,Monsoon,2022-07,70.24285714285713
2022-07-05,35.3,63.8,11.3,24.7,July,2022,Monsoon,2022-07,70.87142857142857
2022-07-06,35.1,83.7,8.8,30.7,July,2022,Monsoon,2022-07,72.67142857142858
2022-07-07,38.5,72.9,14.6,10.7,July,2022,Monsoon,2022-07,74.02857142857144
2022-07-08,34.2,70.5,11.5,25.6,July,2022,Monsoon,2022-07,74.57142857142857
2022-07-09,33.9,68.2,12.2,19.8,July,2022,Monsoon,2022-07,73.05714285714285
2022-07-10,34.0,74.1,12.7,12.4,July,2022,Monsoon,2022-07,73.25714285714285
2022-07-11,36.5,74.9,14.2,22.6,July,2022,Monsoon,2022-07,72.58571428571427
2022-07-12,33.2,66.3,12.5,30.4,July,2022,Monsoon,2022-07,72.94285714285715
2022-07-13,35.9,80.8,5.7,9.9,July,2022,Monsoon,2022-07,72.52857142857142
2022-07-14,36.9,67.1,8.8,27.9,July,2022,Monsoon,2022-07,71.7
2022-07-15,30.6,64.9,11.3,23.7,July,2022,Monsoon,2022-07,70.9
2022-07-16,34.0,59.3,2.0,16.9,July,2022,Monsoon,2022-07,69.62857142857142
2022-07-17,30.0,65.7,11.2,29.6,July,2022,Monsoon,2022-07,68.42857142857143
2022-07-18,34.5,86.2,11.9,23.8,July,2022,Monsoon,2022-07,70.04285714285714
2022-07-19,34.1,72.8,9.2,4.2,July,2022,Monsoon,2022-07,70.97142857142858
2022-07-20,33.1,67.9,8.6,12.5,July,2022,Monsoon,2022-07,69.12857142857142
2022-07-21,30.5,63.4,11.2,17.9,July,2022,Monsoon,2022-07,68.60000000000001
2022-07-22,33.4,81.1,9.2,43.8,July,2022,Monsoon,2022-07,70.91428571428571
2022-07-23,29.4,61.6,14.7,18.9,July,2022,Monsoon,2022-07,71.24285714285715
2022-07-24,35.5,75.1,11.1,17.5,July,2022,Monsoon,2022-07,72.58571428571427
2022-07-25,31.1,75.5,7.6,21.4,July,2022,Monsoon,2022-07,71.05714285714285
2022-07-26,33.5,62.1,11.7,25.0,July,2022,Monsoon,2022-07,69.52857142857142
2022-07-27,30.2,78.6,7.5,19.7,July,2022,Monsoon,2022-07,71.05714285714285
2022-07-28,32.4,65.3,6.5,33.7,July,2022,Monsoon,2022-07,71.32857142857142
2022-07-29,33.3,78.7,12.1,14.6,July,2022,Monsoon,2022-07,70.98571428571428
2022-07-30,32.2,71.6,14.7,18.9,July,2022,Monsoon,2022-07,72.41428571428571
2022-07-31,31.3,79.0,8.6,22.1,July,2022,Monsoon,2022-07,72.97142857142856
2022-08-01,34.1,81.1,10.9,28.6,August,2022,Monsoon,2022-08,73.77142857142857
2022-08-02,34.8,80.7,5.3,13.1,August,2022,Monsoon,2022-08,76.42857142857143
2022-08-03,30.8,76.9,9.8,31.0,August,2022,Monsoon,2022-08,76.18571428571428
2022-08-04,35.2,54.8,6.3,27.5,August,2022,Monsoon,2022-08,74.68571428571428
2022-08-05,32.3,72.2,17.6,4.3,August,2022,Monsoon,2022-08,73.75714285714285
2022-08-06,32.7,82.0,12.3,29.2,August,2022,Monsoon,2022-08,75.24285714285713
2022-08-07,29.2,78.9,8.0,32.2,August,2022,Monsoon,2022-08,75.22857142857143
2022-08-08,31.0,68.6,11.0,17.6,August,2022,Monsoon,2022-08,73.44285714285715
2022-08-09,33.0,73.0,9.5,29.5,August,2022,Monsoon,2022-08,72.34285714285714
2022-08-10,30.4,65.3,12.0,28.4,August,2022,Monsoon,2022-08,70.68571428571428
2022-08-11,32.4,77.8,7.2,24.6,August,2022,Monsoon,2022-08,73.97142857142858
2022-08-12,30.0,79.4,14.6,15.5,August,2022,Monsoon,2022-08,75.0
2022-08-13,30.9,77.2,10.6,35.0,August,2022,Monsoon,2022-08,74.31428571428572
2022-08-14,33.0,72.4,12.4,23.2,August,2022,Monsoon,2022-08,73.38571428571429
2022-08-15,32.7,71.3,10.4,5.5,August,2022,Monsoon,2022-08,73.77142857142857
2022-08-16,30.5,74.4,10.2,29.1,August,2022,Monsoon,2022-08,73.97142857142856
2022-08-17,27.55,75.9,3.4,18.8,August,2022,Monsoon,2022-08,75.4857142857143
2022-08-18,28.8,68.6,11.8,0.0,August,2022,Monsoon,2022-08,74.17142857142858
2022-08-19,31.5,76.8,17.5,21.2,August,2022,Monsoon,2022-08,73.8
2022-08-20,32.7,76.4,5.8,19.7,August,2022,Monsoon,2022-08,73.68571428571428
2022-08-21,29.2,90.8,8.7,26.9,August,2022,Monsoon,2022-08,76.31428571428572
2022-08-22,29.3,71.6,6.0,5.0,August,2022,Monsoon,2022-08,76.35714285714286
2022-08-23,33.0,74.7,13.1,8.5,August,2022,Monsoon,2022-08,76.39999999999999
2022-08-24,28.8,88.6,9.1,30.1,August,2022,Monsoon,2022-08,78.21428571428571
2022-08-25,29.0,77.5,14.2,38.0,August,2022,Monsoon,2022-08,79.48571428571428
2022-08-26,26.3,64.0,12.5,24.7,August,2022,Monsoon,2022-08,77.65714285714286
2022-08-27,32.7,76.7,6.5,30.3,August,2022,Monsoon,2022-08,77.7
2022-08-28,26.7,72.8,6.3,28.2,August,2022,Monsoon,2022-08,75.12857142857142
2022-08-29,29.2,64.8,10.9,23.8,August,2022,Monsoon,2022-08,74.15714285714286
2022-08-30,29.6,61.0,9.0,27.7,August,2022,Monsoon,2022-08,72.2
2022-08-31,26.3,80.5,10.8,26.6,August,2022,Monsoon,2022-08,71.04285714285714
2022-09-01,31.2,69.4,10.2,10.4,September,2022,Monsoon,2022-09,69.88571428571429
2022-09-02,27.3,71.6,8.5,15.0,September,2022,Monsoon,2022-09,70.97142857142858
2022-09-03,27.8,76.1,12.9,28.6,September,2022,Monsoon,2022-09,70.88571428571429
2022-09-04,28.2,65.4,7.3,25.2,September,2022,Monsoon,2022-09,69.82857142857144
2022-09-05,28.7,81.5,10.5,25.0,September,2022,Monsoon,2022-09,72.21428571428571
2022-09-06,28.8,72.7,10.0,23.4,September,2022,Monsoon,2022-09,73.88571428571429
2022-09-07,26.2,73.8,9.9,0.0,September,2022,Monsoon,2022-09,72.92857142857143
2022-09-08,32.7,79.9,6.1,9.4,September,2022,Monsoon,2022-09,74.42857142857143
2022-09-09,31.6,62.9,8.9,11.4,September,2022,Monsoon,2022-09,73.18571428571428
2022-09-10,28.7,70.6,10.9,27.6,September,2022,Monsoon,2022-09,72.4
2022-09-11,23.3,73.4,7.5,16.0,September,2022,Monsoon,2022-09,73.54285714285713
2022-09-12,28.0,56.7,8.0,0.1,September,2022,Monsoon,2022-09,70.0
2022-09-13,25.4,80.6,7.0,30.5,September,2022,Monsoon,2022-09,71.12857142857142
2022-09-14,26.4,76.1,10.2,3.7,September,2022,Monsoon,2022-09,71.45714285714286
2022-09-15,27.7,56.4,9.9,16.1,September,2022,Monsoon,2022-09,68.1
2022-09-16,31.2,75.6,11.0,19.3,September,2022,Monsoon,2022-09,69.91428571428571
2022-09-17,26.2,74.1,9.0,23.6,September,2022,Monsoon,2022-09,70.41428571428571
2022-09-18,26.2,81.7,10.0,20.2,September,2022,Monsoon,2022-09,71.6
2022-09-19,27.3,78.4,9.2,22.8,September,2022,Monsoon,2022-09,74.7
2022-09-20,28.5,90.5,9.8,4.8,September,2022,Monsoon,2022-09,76.11428571428571
2022-09-21,25.1,73.4,7.0,23.2,September,2022,Monsoon,2022-09,75.72857142857143
2022-09-22,24.6,72.8,14.2,3.1,September,2022,Monsoon,2022-09,78.07142857142857
2022-09-23,26.8,82.7,4.6,14.1,September,2022,Monsoon,2022-09,79.08571428571429
2022-09-24,26.2,81.0,13.1,35.4,September,2022,Monsoon,2022-09,80.07142857142857
2022-09-25,24.9,87.8,11.8,22.1,September,2022,Monsoon,2022-09,80.94285714285715
2022-09-26,24.2,72.4,6.0,33.6,September,2022,Monsoon,2022-09,80.08571428571429
2022-09-27,25.1,93.5,11.1,18.3,September,2022,Monsoon,2022-09,80.51428571428572
2022-09-28,24.6,72.6,10.6,2.8,September,2022,Monsoon,2022-09,80.39999999999999
2022-09-29,23.1,72.4,10.2,37.5,September,2022,Monsoon,2022-09,80.34285714285714
2022-09-30,27.8,68.9,10.8,28.4,September,2022,Monsoon,2022-09,78.37142857142858
2022-10-01,27.6,79.1,11.3,6.6,October,2022,Winter,2022-10,78.10000000000001
2022-10-02,25.7,73.4,5.4,5.1,October,2022,Winter,2022-10,76.04285714285713
2022-10-03,23.9,77.8,5.8,4.2,October,2022,Winter,2022-10,76.81428571428572
2022-10-04,26.9,74.0,14.3,14.1,October,2022,Winter,2022-10,74.02857142857144
2022-10-05,25.2,70.8,7.2,2.3,October,2022,Winter,2022-10,73.77142857142857
2022-10-06,22.2,67.0,16.5,9.6,October,2022,Winter,2022-10,73.0
2022-10-07,19.5,86.4,9.5,10.7,October,2022,Winter,2022-10,75.5
2022-10-08,23.0,89.8,11.1,1.8,October,2022,Winter,2022-10,77.02857142857142
2022-10-09,24.6,83.7,15.9,15.3,October,2022,Winter,2022-10,78.5
2022-10-10,21.1,74.7,7.9,4.1,October,2022,Winter,2022-10,78.05714285714285
2022-10-11,22.5,64.7,13.2,2.2,October,2022,Winter,2022-10,76.72857142857143
2022-10-12,24.4,71.7,9.5,8.6,October,2022,Winter,2022-10,76.85714285714286
2022-10-13,22.9,89.4,9.5,7.6,October,2022,Winter,2022-10,80.05714285714286
2022-10-14,23.4,75.4,6.3,9.8,October,2022,Winter,2022-10,78.48571428571428
2022-10-15,21.3,88.7,14.0,2.8,October,2022,Winter,2022-10,78.32857142857142
2022-10-16,21.2,94.7,5.9,2.5,October,2022,Winter,2022-10,79.9
2022-10-17,21.8,77.0,9.3,4.0,October,2022,Winter,2022-10,80.22857142857143
2022-10-18,22.6,77.2,8.4,2.1,October,2022,Winter,2022-10,82.01428571428572
2022-10-19,25.5,74.0,9.2,13.1,October,2022,Winter,2022-10,82.34285714285714
2022-10-20,23.9,83.7,13.7,0.0,October,2022,Winter,2022-10,81.52857142857144
2022-10-21,20.4,86.4,9.0,2.9,October,2022,Winter,2022-10,83.10000000000001
2022-10-22,21.3,98.0,9.1,5.5,October,2022,Winter,2022-10,84.42857142857143
2022-10-23,19.2,81.0,10.6,0.4,October,2022,Winter,2022-10,82.47142857142858
2022-10-24,20.7,94.5,8.8,11.7,October,2022,Winter,2022-10,84.97142857142858
2022-10-25,21.0,83.4,10.9,11.9,October,2022,Winter,2022-10,85.85714285714286
2022-10-26,17.7,82.3,11.3,7.9,October,2022,Winter,2022-10,87.04285714285713
2022-10-27,22.2,83.1,10.7,15.8,October,2022,Winter,2022-10,86.95714285714287
2022-10-28,21.8,69.5,13.5,6.2,October,2022,Winter,2022-10,84.54285714285713
2022-10-29,23.5,79.6,8.3,6.9,October,2022,Winter,2022-10,81.91428571428571
2022-10-30,19.7,87.3,11.0,5.6,October,2022,Winter,2022-10,82.81428571428572
2022-10-31,24.5,105.0,11.6,4.1,October,2022,Winter,2022-10,84.31428571428572
2022-11-01,21.2,75.4,10.9,0.6,November,2022,Winter,2022-11,83.17142857142856
2022-11-02,24.1,77.3,9.8,0.0,November,2022,Winter,2022-11,82.45714285714287
